timestamp,test-class,test-method,time,description,result
2021-09-09 20:19:32.696,acme.testing.administrator.dashboard.AdministratorDashboardShowTest,showPositive,3627,"[1] totalNumberOfPublicTasks=13, totalNumberOfPrivateTasks=7, totalNumberOfFinishedTasks=15, totalNumberOfNonFinishedTasks=5, averageNumberOfTaskExecutionPeriods=200d 23h 2min, deviationNumberOfTaskExecutionPeriods=315d 14h 9min, minimumNumberOfTaskExecutionPeriods=0h 45min, maximumNumberOfTaskExecutionPeriods=731d 1h 45min, averageNumberOfTaskWorkloads=1d 0h 41min, deviationNumberOfTaskWorkloads=1h 7min, minimumNumberOfTaskWorkloads=0h 0min, maximumNumberOfTaskWorkloads=4d 3h 35min",OK
2021-09-09 20:19:36.094,acme.testing.administrator.dashboard.AdministratorDashboardShowTest,showNegative,3126,"[1] user=manager1, password=manager1",OK
2021-09-09 20:19:39.401,acme.testing.administrator.dashboard.AdministratorDashboardShowTest,showNegative,2936,"[2] user=authenticated, password=authenticated",OK
2021-09-09 20:19:52.016,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3697,"[1] recordIndex=0, title=Prepare the sour cream topping, description=Place sour cream in a medium sized bowl, stir in the powdered sugar and vanilla, until smooth. Chill until you are ready to serve the cake., workload=99.59, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2019/04/24 07:30, end=2021/04/24 09:15, visibility=PUBLIC",OK
2021-09-09 20:19:55.518,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3260,"[2] recordIndex=1, title=Process graham crackers, mix with sugar, salt, butter, description=Pulse the graham crackers in a food processor or blender until finely ground. Put in a large bowl, and stir in the sugar and salt. Stir in the melted butter. Preheat oven to 350°F (175°C), with rack in lower third of oven., workload=1.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/04/13 12:30, end=2021/04/13 14:30, visibility=PUBLIC",OK
2021-09-09 20:19:58.877,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3093,"[3] recordIndex=2, title=Beat cream cheese, then sugar, description=Cut the cream cheese into chunks and place in the bowl of an electric mixer, with the paddle attachment. Mix on medium speed for 4 minutes until smooth, soft and creamy. Add the sugar, beat for 4 minutes more., workload=8.00, link=null, start=2021/04/24 00:30, end=2021/04/25 01:15, visibility=PUBLIC",OK
2021-09-09 20:20:02.307,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3144,"[4] recordIndex=3, title=Prepare the raspberry sauce, description=Place raspberries, sugar, and water in a small saucepan. Use a potato masher to mash the raspberries. Heat on medium, whisking, about 5 minutes, until the sauce begins to thicken. Remove from heat. Let cool., workload=0.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/04/25 14:30, end=2021/04/25 16:30, visibility=PUBLIC",OK
2021-09-09 20:20:05.763,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showPositive,3207,"[5] recordIndex=4, title=Add salt, vanilla, then eggs, then sour cream, description=Add the salt and vanilla, beating after each addition. Add the eggs, one at a time, beating on medium low speed for one minute after each addition. Add the sour cream, beat until incorporated., workload=1.00, link=https://www.simplyrecipes.com/recipes/perfect_cheesecake/, start=2021/05/13 14:30, end=2021/05/13 17:00, visibility=PUBLIC",OK
2021-09-09 20:20:06.29,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,272,"[1] id=32",OK
2021-09-09 20:20:06.809,acme.testing.authenticated.task.AuthenticatedTaskShowTest,showNegative,275,"[2] id=33",OK
